"species"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"
"Acanthophoenix crinita"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"1"	"NA"	"0.65"	"0.5"	"0.0850848010347236"	"0.65"	"0.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.21730072039912	"7.67478119376987"	"NO"	"YES"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Acanthophoenix rousselii"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"1"	"NA"	"2"	"0.8"	"0.670206432765823"	"2"	"0.8"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.245056072996669	"7.67507091774774"	"NO"	"YES"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Acanthophoenix rubra"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"1"	"NA"	"1"	"0.7"	"0.256563400043166"	"1"	"0.7"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.21872158816408	"7.64760985085371"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Acoelorrhaphe wrightii"	"NE"	"NE"	"PREDICTED"	"LC"	"0.02"	"0.98"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"1.95"	"0.7"	"0.7"	"0.179594380030216"	"0.7"	"0.7"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"LC"	"0.190279516464596"	"0.809720483535404"	"NA"	"LC"	"LC"	"LC"	"LC"	0.248897285712626	"14.4346637850381"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Acrocomia aculeata"	"NE"	"NE"	"PREDICTED"	"LC"	"0.048"	"0.952"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"4.25"	"4.6"	"43.5045132675236"	"4.6"	"4.25"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"	"LC"	"0.126450416157744"	"0.873549583842256"	"NA"	"LC"	"LC"	"LC"	"LC"	0.243427930990571	"11.5370979606409"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Acrocomia crispa"	"NE"	"LC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"3.65"	"2.5"	"1.8"	"4.24115008234622"	"2.5"	"1.8"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.226919550622602	"14.054411189548"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"LC"	"LC"	"NA"	"LC"	"LC"	"NA"	"LC"	"LC"	"NA"	"LC"	"LC"
"Acrocomia emensis"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	"1"	"NA"	"2"	"2"	"4.18879020478639"	"2"	"2"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.330305514772922	"13.4665323167177"	"YES"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Acrocomia glaucescens"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.882"	"0.118"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.730382944398406"	"0.269617055601594"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221319900409183	"13.4705608867052"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Acrocomia hassleri"	"NE"	"NE"	"PREDICTED"	"LC"	"0.188"	"0.812"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	"1"	"1.41"	"2.25"	"2.25"	"5.96411730329937"	"2.25"	"2.25"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.520367059430394"	"0.479632940569606"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.329744417833532	"13.4811873630033"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Acrocomia intumescens"	"NE"	"NE"	"PREDICTED"	"LC"	"0.216"	"0.784"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"4.6"	"4.6"	"50.965010421636"	"4.6"	"4.6"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.559923520988041"	"0.440076479011959"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.239540996581417	"13.2185691869115"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
