"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"HFI"	"HPD"	"FLO"	"Tseas"	"Pseas"	"Tflex"	"Pflex"	"ECO"	"TDWG3"
"Chamaedorea klotzschiana"	14	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	6	8	52	21781.3789058268	35.8827547345843	326.371208105768	0.0364062027739627	211.331782204764	77.7248562404088	0.704284811811706	0.118002628120894	5	1
"Heterospathe longipes"	1	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	4	NA	20.3871917724609	11.5338163375854	0	128.240112304688	28.6500244140625	0.864731206844394	0.459770114942529	1	1
"Chamaedorea oreophila"	9	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	5	5	36	3123.27524095675	39.6264199150933	383.968286302355	0.0165500682778656	209.908693101671	71.3491041395399	0.657439914506655	0.143090093762739	3	2
"Eremospatha quinquecostulata"	3	"LC"	"LC"	"LC"	"LC"	"TEST"	3	3	12	31047.6295841958	20.0782880783081	18.193828423818	0.0155454536434263	85.29163869222	67.2976341247559	0.806108165310999	0.0504672897196261	2	2
"Bismarckia nobilis"	17	"LC"	"LC"	"LC"	"LC"	"TEST"	12	13	60	258646.66435919	23.5409787121941	91.5114461393917	0.0309151668779497	200.295472088982	106.310059940114	0.697787193048527	0.0385982732351449	4	1
"Eremospatha macrocarpa"	30	"LC"	"LC"	"LC"	"LC"	"TEST"	26	27	120	528424.374924551	27.0710767745972	57.2936585744222	0.0797083289517711	87.93445409139	65.3983264923096	0.825440836582319	0.0787087112072552	6	11
"Chamaedorea ibarrae"	9	"LC"	"LC"	"LC"	"LC"	"TEST"	5	6	32	6391.43176718299	30.5499451955159	36.5059009128147	0.0278565374513467	114.776385837131	96.4538252088759	0.706133698700261	0.0211656441717792	2	2
"Chuniophoenix hainanensis"	2	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	2	2	8	NA	23.8946628570557	119.445400238037	0.130073864012957	312.876510620117	74.4818687438965	0.738523441226274	0.0808435852372583	2	1
"Phoenix atlantica"	1	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	1	1	4	NA	19.0286045074463	21.3439922332764	0.000410766981076449	187.912338256836	172.138946533203	0.780287996647296	2.56410256410256e-07	1	1
"Nypa fruticans"	75	"LC"	"LC"	"LC"	"LC"	"TEST"	46	54	268	48139889.0264962	24.6156231279243	568.078127310108	0.0422172762797951	141.442302449544	79.8114745076497	0.794721651143196	0.11722935488984	19	25
"Eremospatha hookeri"	16	"LC"	"LC"	"LC"	"LC"	"TEST"	15	15	64	640610.872785676	28.0842945575714	176.854294896126	0.0983490378566785	93.907299041748	67.9928925037384	0.816177299973299	0.0583190394511149	6	7
"Ravenea krociana"	8	"EN"	"nonLC"	"EN"	"nonLC"	"TEST"	4	4	20	9957.89472871245	21.5861139297485	28.4958524703979	0.138993750093505	254.021383285522	65.9592199325562	0.709428482018072	0.16674280493376	2	1
"Eremospatha laurentii"	17	"LC"	"LC"	"LC"	"LC"	"TEST"	12	12	56	305644.75075585	25.270605059231	251.61233132727	0.0428974996731781	90.3521562464097	64.6175797406365	0.823232463218309	0.0713592905639462	4	9
"Heterospathe dransfieldii"	1	"Threatened"	"nonLC"	"Threatened"	"nonLC"	"TEST"	1	1	4	NA	22.3192882537842	193.04443359375	0.0201917588710785	57.7318115234375	58.8156318664551	0.842415657094905	0.0860655737704918	1	1
